id,serial,name,iccid,type,online,status,deviceos_version,firmware_version,last_handshake,last_heard,notes
e00fce68f336a45ffc3dcab7,P044AD349DY2PUC,pwt_0299,89883070000037585856,Boron,true,normal,4.2.0,40,2025-10-24T05:15:25.476Z,2025-10-24T05:16:18.062Z,
e00fce68c7a12a65a82d4971,P044AD349NPEYRK,pwt_0262,89883070000039847692,Boron,true,normal,4.2.0,40,2025-10-24T05:12:25.109Z,2025-10-24T05:13:39.829Z,
e00fce681874cd43d0a3f05d,P044AD348K25HVU,pwt_0322,89883070000037554688,Boron,true,normal,4.2.0,40,2025-10-24T05:08:57.906Z,2025-10-24T05:09:44.189Z,
e00fce6858b1be96feea0d60,P044AD335R9V45T,pwt_0209,89883070000037145644,Boron,true,normal,4.2.0,40,2025-10-24T04:47:16.404Z,2025-10-24T05:10:43.622Z,
e00fce68e317db7cd6a1ebf1,P044AD348Y8J436,pwt_0360,89883070000040125278,Boron,true,normal,4.2.0,40,2025-10-24T04:39:22.085Z,2025-10-24T05:03:17.998Z,
e00fce68e5a46fa24a05f8d9,B40HAD103B6JKCY,pwt_0161,89014103272806325417,Boron,true,normal,4.2.0,40,2025-10-24T04:27:51.933Z,2025-10-24T05:16:18.571Z,
e00fce68285ef2b0ac7fcd11,P044AD348HTJKWA,pwt_0369,89883070000039799877,Boron,true,normal,4.2.0,40,2025-10-24T03:12:55.529Z,2025-10-24T05:07:17.982Z,
e00fce6870c98bcce72305df,P044AD335VPYEMT,pwt_0199,89883070000037616354,Boron,true,normal,4.2.0,40,2025-10-24T02:32:58.410Z,2025-10-24T05:15:05.509Z,
e00fce68915f3aa12b126411,P044AD349BG2N89,pwt_0254,89883070000037592761,Boron,true,normal,4.2.0,40,2025-10-24T02:15:06.744Z,2025-10-24T04:57:13.952Z,
e00fce68ccf49efc8cbd2214,P044AD349PLFG2U,pwt_0339,89883070000037585849,Boron,true,normal,4.2.0,40,2025-10-24T01:36:30.786Z,2025-10-24T05:05:18.464Z,
e00fce682f27ec2579ab9bf0,P044AD349UAR6YH,pwt_0334,89883070000039841315,Boron,true,normal,4.2.0,40,2025-10-24T00:25:20.541Z,2025-10-24T05:02:18.979Z,
e00fce687845f86dd1113472,P044AD348LUYCE9,pwt_0283,89883070000039845498,Boron,true,normal,4.2.0,40,2025-10-24T00:05:14.089Z,2025-10-24T05:05:42.739Z,
e00fce688f1207980ec9aca0,B40HAD103NAKCRB,pwt_0137,89014103273166789903,Boron,true,normal,4.2.0,40,2025-10-23T23:21:27.703Z,2025-10-24T05:00:43.015Z,
e00fce68438e5f9e9393555a,P044AD349VGRHBW,pwt_0309,89883070000039846009,Boron,true,normal,4.2.0,40,2025-10-23T23:06:12.129Z,2025-10-24T05:01:19.394Z,
e00fce68a9e9cd953d3c157f,P044AD335VGC4H6,pwt_0217,89883070000037615752,Boron,true,normal,4.2.0,40,2025-10-23T22:08:35.027Z,2025-10-24T04:59:43.772Z,
e00fce68def4d5aeb85d1e96,P044AD349HYMBTC,pwt_0294,89883070000037585443,Boron,true,normal,4.2.0,40,2025-10-23T21:51:50.110Z,2025-10-24T05:00:19.205Z,
e00fce6856359ea1d7aa23cf,P044AD349UT2BSC,pwt_0393,89883070000037590567,Boron,true,normal,4.2.0,40,2025-10-23T21:47:27.611Z,2025-10-24T05:00:18.509Z,
e00fce6832c7342898d7d42c,B40HAD102VBP7RF,pwt_0139,89014103273166793046,Boron,true,normal,4.2.0,40,2025-10-23T21:45:50.165Z,2025-10-24T04:59:56.748Z,
e00fce6802e3433728f9f524,B40HAD102MG7TSV,pwt_0032,89014103273166791073,Boron,true,normal,4.2.0,40,2025-10-23T21:31:47.493Z,2025-10-24T05:00:17.996Z,
e00fce686a08dae4eaa11645,P044AD3494YRP5N,pwt_0258,89883070000039841406,Boron,true,normal,4.2.0,40,2025-10-23T21:31:29.680Z,2025-10-24T05:00:17.681Z,
e00fce68a0336289254c379f,B40HAD103VNHMFK,pwt_0129,89014103272806325235,Boron,true,normal,4.2.0,40,2025-10-23T21:30:31.676Z,2025-10-24T05:00:42.902Z,
e00fce68cd0a529e1d9acc2c,P044AD244TAHU89,pwt_0119,89883070000013129166,Boron,true,normal,4.2.0,40,2025-10-23T21:28:58.996Z,2025-10-24T05:01:17.996Z,
e00fce6826b79c97b227fb6f,P044AD335YBXUSE,pwt_0216,89883070000037623822,Boron,true,normal,4.2.0,40,2025-10-23T21:24:51.762Z,2025-10-24T04:59:56.748Z,
e00fce68e9c4d816bcefbf2d,B40HAD102XTBE5L,pwt_0126,89014103273166789820,Boron,true,normal,4.2.0,40,2025-10-23T21:22:34.553Z,2025-10-24T04:59:42.806Z,
